"_id","id","artist","title","mood","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","track_duration","track_end_of_fade_in","track_start_of_fade_out","track_loudness","track_tempo","track_tempo_confidence","track_time_signature","track_time_signature_confidence","track_key","track_key_confidence","track_mode","track_mode_confidence"
5a78793d6c7da81a2b374d3e,66og3aBET6ke2zIc8m8SIt,Animal ДжаZ,Моя любовь меня,0,0.414,0.957,10,-3.974,1,0.0625,0.000821,0,0.0942,0.301,167.03,268013,4,268.01333,0.26703,263.57551,-3.974,167.03,0.846,4,0.885,10,0.849,1,0.664
5a78793d6c7da81a2b374d3f,6hORydfrOvTbsGyZNsb7MG,She Wants Revenge,Love Me,0,0.551,0.658,5,-6.933,1,0.0259,0.0989,0.488,0.0937,0.344,153.957,254663,4,254.66272,0.26984,246.90358,-6.933,153.957,0.84,4,1,5,0.228,1,0.307
5a78793e6c7da81a2b374d40,0khzHIp1pYgBunt0HK4ijT,Jethro Tull,Jack A Lynn - 1993,0,0.412,0.467,7,-12.379,0,0.0353,0.64,0.000569,0.103,0.543,137.002,296267,3,296.26667,0.40639,287.96227,-12.379,137.002,0.573,3,0.698,7,0.608,0,0.654
5a78793f6c7da81a2b374d41,4gXiYX23JvDrr6LWZfng8v,Mott The Hoople,I Wish I Was Your Mother,0,0.497,0.507,9,-11.696,1,0.0381,0.129,0.000318,0.122,0.733,122.186,291800,4,291.8,0.12762,267.57515,-11.696,122.186,0.312,4,0.996,9,0.728,1,0.662
5a7879406c7da81a2b374d42,0pZaalC4T852jrLo7FoLOz,Drexciya,Polymono Plexusgel,0,0.636,0.908,6,-5.318,1,0.0523,0.000918,0.884,0.364,0.25,127.601,190307,4,190.30667,2.13624,184.04136,-5.318,127.601,0.498,4,1,6,0,1,0.488
5a7879416c7da81a2b374d43,0MzUcThGcH9KtjTMG50jUT,Various Artists - Elton John Tribute,Rocketman,0,0.556,0.442,10,-12.498,1,0.0322,0.795,0,0.291,0.47,127.658,287853,4,287.85333,0.18617,275.8937,-12.498,127.658,0.558,4,0.981,10,0.634,1,0.676
5a7879426c7da81a2b374d44,6MrlJD0wr7NOUMJGhxKou6,Placebo,Bright Lights - Single Version,0,0.491,0.735,0,-5.394,1,0.0463,0.000076,0.00000311,0.0792,0.416,124.979,211720,4,211.72027,0.29601,201.90912,-5.394,124.979,0.739,4,1,0,0.81,1,0.664
5a7879446c7da81a2b374d45,1TdM8QN2DAX04mFFvmUKAy,Ella Fitzgerald,Maybe,0,0.482,0.0991,10,-15.24,1,0.0357,0.993,0.000157,0.12,0.271,115.599,207400,4,207.4,0.34762,197.2419,-15.24,115.599,0.205,4,0.761,10,0.54,1,0.573
5a7879446c7da81a2b374d46,516xe7xr9NwYIgqSiBHXcw,Piano Magic,Dark Secrets Look for Light,0,0.571,0.23,0,-17.239,1,0.0371,0.39,0.87,0.0956,0.41,179.386,292360,4,292.36,0.3654,274.3902,-17.239,179.386,0.364,4,1,0,0.975,1,0.7
5a7879466c7da81a2b374d47,6wNajOmhYbtemZQjXsBU6k,Dame,Pony,0,0.657,0.814,7,-5.153,1,0.0332,0.029,0,0.0618,0.725,130.01,175040,4,175.03973,0.65016,162.35973,-5.153,130.01,0.788,4,0.898,7,0.863,1,0.483
