@relation 'MusicMoods-weka.filters.unsupervised.attribute.Reorder-Rlast-first-weka.filters.unsupervised.attribute.Remove-R2,4-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R7'

@attribute track_mode_confidence numeric
@attribute track_key_confidence numeric
@attribute track_time_signature_confidence numeric
@attribute track_time_signature numeric
@attribute track_tempo_confidence numeric
@attribute track_end_of_fade_in numeric
@attribute duration_ms numeric
@attribute tempo numeric
@attribute valence numeric
@attribute liveness numeric
@attribute instrumentalness numeric
@attribute acousticness numeric
@attribute speechiness numeric
@attribute mode numeric
@attribute loudness numeric
@attribute key numeric
@attribute energy numeric
@attribute danceability numeric
@attribute mood {0,1}

@data
0.426,0.364,1,4,0.854,0.28449,500587,119.968,0.716,0.226,0.921,0.0485,0.134,1,-6.639,9,0.672,0.817,1
0.54,0.526,0.562,4,0.942,0.17732,175613,146.979,0.307,0.197,0.0021,0.00009,0.0452,1,-3.703,8,0.806,0.48,1
0.641,0.904,1,4,0.486,0.20862,159707,189.116,0.215,0.166,0.836,0.000002,0.0496,0,-14.418,11,0.796,0.0721,1
0.768,0.787,0.695,4,0.109,0.55723,279437,117.293,0.228,0.277,0.000001,0.884,0.0388,1,-10.333,7,0.151,0.399,0
0.548,0.428,1,3,0,0.11211,156333,106.272,0.125,0.159,0,0.951,0.031,0,-13.286,2,0.131,0.462,0
0.477,0.319,1,4,0.519,0,160027,164.58,0.977,0.0373,0.00872,0.00381,0.0387,1,-10.945,9,0.781,0.606,1
0.579,0.432,1,4,0.792,4.05188,264000,129.241,0.862,0.745,0.000252,0.0984,0.0324,0,-10.361,11,0.816,0.627,1
0.432,0.3,1,4,0.957,0.40127,238787,113.017,0.725,0.442,0.000276,0.0483,0.0601,0,-4.289,5,0.967,0.641,1
0.565,0.665,1,4,0.181,0.19052,197147,64.101,0.0384,0.111,0.0186,0.798,0.0311,1,-20.49,4,0.0827,0.45,0
0.537,0.7,1,4,0.227,0.23873,285027,91.532,0.76,0.44,0.000001,0.0296,0.0438,1,-2.763,7,0.852,0.769,1
0.071,0,0.802,4,0.567,0,293827,104.992,0.34,0.45,0.546,0.000015,0.0429,1,-6.343,6,0.77,0.401,0
0.638,0.692,0.933,4,0.407,2.77478,272573,107.917,0.295,0.107,0.00413,0.000613,0.0316,1,-6.294,1,0.788,0.457,0
0.33,0.216,1,4,0.837,0,500093,109.645,0.414,0.35,0.000232,0.109,0.123,1,-5.695,8,0.97,0.832,1
0.547,0.537,1,4,0.749,0.13333,197893,119.987,0.625,0.116,0.000006,0.0987,0.0373,1,-7.452,6,0.526,0.814,1
0.322,0.243,1,4,0.123,0.37297,221890,179.898,0.887,0.085,0.00192,0.224,0.145,1,-5.963,2,0.838,0.589,1
0.586,0.244,0.713,4,0.72,0.13546,216440,123.984,0.0495,0.0619,0.912,0.636,0.0455,1,-14.85,8,0.404,0.661,0
0.123,0.168,1,4,0.884,0.26952,347667,124.981,0.849,0.226,0.000002,0.409,0.0312,0,-5.012,9,0.711,0.804,1
1,1,0.588,4,0.02,0.55184,130067,169.922,0.351,0.293,0.000077,0.326,0.0288,0,-7.832,2,0.452,0.446,0
0.056,0.137,1,4,0.882,0.37102,178040,98.069,0.825,0.12,0.00012,0.00814,0.138,0,-7.194,9,0.762,0.686,1
0.395,0.248,1,4,0.478,0.15098,236333,119.749,0.168,0.105,0.0354,0.109,0.0931,0,-8.307,5,0.543,0.59,1
0.504,0.7,1,4,0.767,0.25764,232187,109.951,0.465,0.363,0.000033,0.201,0.287,1,-8.628,7,0.61,0.902,1
0.636,0.74,0.854,4,0.326,2.10721,269093,80.027,0.471,0.102,0,0.53,0.247,1,-7.364,9,0.479,0.66,0
0.764,0.583,0.962,4,0.115,0.42363,268267,89.313,0.265,0.125,0,0.104,0.03,1,-5.309,1,0.65,0.482,0
0.268,0.333,0.121,4,0.224,0.15683,244293,159.878,0.623,0.189,0.000321,0.000075,0.0971,1,-2.814,8,0.9,0.35,1
0.317,0.293,0.913,4,0.197,0.26685,249813,92.963,0.131,0.29,0,0.259,0.0504,1,-3.971,9,0.642,0.534,0
0.824,1,1,4,0.85,0.14508,165893,123.383,0.787,0.0573,0.725,0.00342,0.0486,1,-6.946,7,0.949,0.702,1
0.628,0.456,0.947,4,0.376,0.20812,252413,95.793,0.334,0.187,0.000161,0.518,0.0281,0,-7.832,11,0.445,0.545,0
0.525,0.747,1,4,0.926,2.94893,270400,145.939,0.666,0.12,0.514,0.0282,0.0339,0,-8.927,8,0.646,0.709,0
0.469,0.368,1,4,0.881,0.0927,217920,122.979,0.564,0.322,0.00127,0.057,0.0335,0,-8.243,11,0.843,0.573,1
0.47,0.574,0.307,4,0.837,0,207400,133.62,0.6,0.0813,0.0133,0.129,0.0376,1,-10.411,8,0.72,0.673,1
0.434,0.44,1,4,0.341,0,319773,124.033,0.557,0.124,0.527,0.657,0.0406,0,-14.093,2,0.462,0.464,1
0.683,0.466,0.562,3,0.226,0.07546,135013,84.994,0.103,0.0942,0.00076,0.761,0.033,0,-10.015,1,0.265,0.478,0
0.455,0.461,0.985,4,0.758,0,324173,140.015,0.115,0.327,0.0806,0.000761,0.0318,1,-5.328,9,0.739,0.41,0
0.327,0.114,0.804,4,0.314,0.82431,323347,129.245,0.425,0.146,0,0.946,0.0392,0,-9.045,11,0.393,0.579,0
0.59,0.918,1,4,0.8,0,293467,115.027,0.669,0.86,0.00143,0.207,0.144,0,-4.692,4,0.906,0.751,1
0.506,0.702,0.981,4,0.877,0.1219,204507,127.975,0.554,0.296,0.000008,0.00277,0.131,1,-3.842,8,0.868,0.634,1
0.641,0.554,1,4,0.488,0.39819,137933,99.95,0.961,0.189,0.000043,0.193,0.0384,0,-10.633,2,0.625,0.693,1
0.726,0.864,0.921,4,0.009,0.11583,388440,120.057,0.835,0.328,0,0.0345,0.0574,1,-3.909,7,0.852,0.451,1
0.617,0.587,0.926,4,0.056,0.25764,187373,105.202,0.232,0.109,0.103,0.991,0.035,1,-16.827,6,0.0698,0.459,0
0.706,0.662,0.993,4,0.614,0.22263,261240,102.789,0.577,0.139,0,0.0133,0.0309,1,-5.12,11,0.76,0.651,0
0.688,0.788,1,4,0.265,0,252853,96.93,0.871,0.162,0.000188,0.438,0.0867,0,-4.4,10,0.935,0.522,1
0,0,1,4,0.761,0.62476,193253,129.124,0.401,0.0857,0.785,0.000292,0.082,0,-10.666,11,0.314,0.71,1
0.219,0,0.995,4,0.957,0.25868,230933,102.008,0.794,0.329,0.00236,0.00612,0.0507,0,-5.146,10,0.933,0.718,1
0.685,0.886,1,4,0.19,0.07556,265347,72.746,0.371,0.13,0.000443,0.83,0.0341,1,-14.067,5,0.33,0.525,0
0.446,0.392,0.731,4,0.592,2.06077,190427,94.352,0.277,0.101,0.0132,0.939,0.0383,0,-19.209,5,0.167,0.471,0
0.539,0.511,0.834,4,0.346,0,230827,135.865,0.473,0.0903,0,0.181,0.0294,0,-6.353,3,0.539,0.493,0
0.451,0.456,0.925,4,0.066,0.37732,217333,156.864,0.41,0.165,0.0264,0.00714,0.0289,1,-12.779,5,0.424,0.402,0
0.49,0.399,0.845,4,0.4,0.39501,253533,131.882,0.182,0.0524,0,0.59,0.0278,0,-7.53,4,0.448,0.52,0
0.644,0.994,0.99,4,0.235,0.28458,223493,144.94,0.148,0.114,0.0162,0.304,0.0292,1,-15.384,0,0.194,0.502,0
0.323,0.104,1,4,0.587,1.09773,172173,128.095,0.772,0.323,0.000032,0.000312,0.163,1,-4.276,2,0.855,0.674,1
0.163,0.376,0.854,4,0.877,0.46721,653533,132.004,0.17,0.374,0.929,0.00392,0.0407,1,-9.158,9,0.779,0.638,1
0.614,0.589,1,4,0.848,1.02744,197867,103.037,0.27,0.225,0.00354,0.244,0.0378,1,-2.863,2,0.872,0.648,1
0.946,0.903,0.84,4,0.014,2.04916,306547,89.503,0.296,0.219,0.00539,0.00417,0.0379,0,-8.907,5,0.737,0.308,0
